journal,year,title,doi,paper_url,github_url,evidence,search_status,github_candidates,notes
Science,2026,A deep-time landscape of plant cis-regulatory sequence evolution,10.1126/science.adt8983,https://doi.org/10.1126/science.adt8983,Picard: A set of command line tools (in Java) for manipulating high-throughput sequencing (HTS) data and formats such as SAM/BAM/CRAM and VCF (Broad Institute 2025); https://github.com/broadinstitute/picard.,crossref_metadata,github_found,https://github.com/idanefroni/Conservatory,Conservatory code repository referenced for cis-regulatory evolution work.
Science,2026,Evolution to the rescue,10.1126/science.aef8427,https://doi.org/10.1126/science.aef8427,,,not_research,,Editorial/correction item; no figure code expected.
Science,2026,Journals can help protect animal welfare—Response,10.1126/science.aef5673,https://doi.org/10.1126/science.aef5673,,,not_research,,Editorial/correction item; no figure code expected.
Science,2026,"Erratum for the Research Article “Acid-humidified CO
                    <sub>2</sub>
                    gas input for stable electrochemical CO
                    <sub>2</sub>
                    reduction reaction”",10.1126/science.aeh0747,https://doi.org/10.1126/science.aeh0747,,,not_research,,Editorial/correction item; no figure code expected.
Science,2026,A unified platform for nucleoside analog synthesis,10.1126/science.aed6880,https://doi.org/10.1126/science.aed6880,,,publisher_page_blocked,,Science.org DOI page blocked (403); no GitHub found in quick search.
Science,2026,Ease the struggle of young researchers,10.1126/science.aef4462,https://doi.org/10.1126/science.aef4462,,,not_research,,Editorial/correction item; no figure code expected.
Science,2026,Soaking up destructive signals,10.1126/science.aef4930,https://doi.org/10.1126/science.aef4930,,,not_research,,Editorial/correction item; no figure code expected.
Science,2026,Why three scientists said no to Epstein,10.1126/science.aeg9255,https://doi.org/10.1126/science.aeg9255,,,not_research,,Editorial/correction item; no figure code expected.
Science,2026,Sabotaging the NSF fellowship is a blunder,10.1126/science.aeg7883,https://doi.org/10.1126/science.aeg7883,,,not_research,,Editorial/correction item; no figure code expected.
Science,2026,Investing in hope,10.1126/science.aeg8839,https://doi.org/10.1126/science.aeg8839,,,not_research,,Editorial/correction item; no figure code expected.
Science,2026,Multiple chromosomal inversions modulate continuous local adaptation along a steep thermal cline,10.1126/science.ady6774,https://doi.org/10.1126/science.ady6774,,,publisher_page_blocked,,Science.org DOI page blocked (403); no GitHub found in quick search.
Science,2026,Stem cell therapies ‘come of age’ with two conditional approvals in Japan,10.1126/science.aeg9252,https://doi.org/10.1126/science.aeg9252,,,not_research,,Editorial/correction item; no figure code expected.
Science,2026,Repeated convergent evolution of bradykinin mimics as defensive toxins,10.1126/science.adx0452,https://doi.org/10.1126/science.adx0452,,,publisher_page_blocked,,Science.org DOI page blocked (403); no GitHub found in quick search.
Science,2026,In Science Journals,10.1126/science.aeg8837,https://doi.org/10.1126/science.aeg8837,,,not_research,,Editorial/correction item; no figure code expected.
Science,2026,Chinese institution rejects pricey open-access fees,10.1126/science.aeg9256,https://doi.org/10.1126/science.aeg9256,,,not_research,,Editorial/correction item; no figure code expected.
Science,2026,A small polymerase ribozyme that can synthesize itself and its complementary strand,10.1126/science.adt2760,https://doi.org/10.1126/science.adt2760,B. Bushnell BBtools; https://github.com/bbushnell/BBTools.,crossref_metadata,data_code_non_github,,Data and code hosted on Dryad (see DOI 10.5061/dryad.6hdr7sr9n).
Science,2026,Poland: No country for PhD researchers,10.1126/science.aef3833,https://doi.org/10.1126/science.aef3833,,,not_research,,Editorial/correction item; no figure code expected.
Cell,2026,Tissues assemble! Rebuilding the human periportal liver in a dish,10.1016/j.stem.2026.02.005,https://doi.org/10.1016/j.stem.2026.02.005,,,not_research,,Spotlight/preview-style item; no code expected.
Cell,2026,"Adult neurogenesis: New neurons, new opportunities",10.1016/j.stem.2026.01.014,https://doi.org/10.1016/j.stem.2026.01.014,,,not_research,,Review/preview-style item; no code expected.
Cell,2026,Minimizing far-extending chromatin perturbation in genome editing preserves stem cell identity,10.1016/j.stem.2026.01.015,https://doi.org/10.1016/j.stem.2026.01.015,,,github_found,https://github.com/lilab-thu/GenomeEditingChromatinPerturbations2025,ScienceDirect data and code availability lists GitHub.
Cell,2026,Randomized phase 2b dose-escalation trial of stem cell therapy with laromestrocel for aging frailty,10.1016/j.stem.2026.01.017,https://doi.org/10.1016/j.stem.2026.01.017,,,no_github_found_quick_search,,No GitHub link found in quick search; verify in paper code availability.
Cell,2026,VIPR1 acts as an enteric neural checkpoint that suppresses intestinal stem cell-driven epithelial regeneration and exacerbates colitis,10.1016/j.stem.2026.01.009,https://doi.org/10.1016/j.stem.2026.01.009,,,publisher_page_blocked,,ScienceDirect page blocked (403); no GitHub found in quick search.
Cell,2026,Paired patient-derived organoids reveal transcription factor-driven epigenetic remodeling in breast cancer metastasis,10.1016/j.stem.2026.02.007,https://doi.org/10.1016/j.stem.2026.02.007,,,no_github_found_quick_search,,No GitHub link found in quick search; verify in paper code availability.
Cell,2026,Prevention of transgene silencing during human pluripotent stem cell differentiation,10.1016/j.stem.2026.01.007,https://doi.org/10.1016/j.stem.2026.01.007,,,publisher_page_blocked,,ScienceDirect page blocked (429); no GitHub found in quick search.
Cell,2026,Cradles for maturation: Turning progenitor cells into functional intestinal epithelium,10.1016/j.stem.2026.01.016,https://doi.org/10.1016/j.stem.2026.01.016,,,not_research,,Preview item; no code expected.
Cell,2026,Off-the-shelf CAR natural killer progenitor cell therapies are built to last,10.1016/j.stem.2026.02.004,https://doi.org/10.1016/j.stem.2026.02.004,,,not_research,,Preview item; no code expected.
Cell,2026,Distinct spatial patterning and transcriptomic landscapes of human neural organoids by localized delivery of morphogens,10.1016/j.stem.2026.01.008,https://doi.org/10.1016/j.stem.2026.01.008,,,github_found,https://github.com/FYY-ST/ST-analysis.git,Data and code availability lists GitHub R code for ST analysis.
Cell,2026,comBO: A combined human bone and lympho-myeloid bone marrow organoid for preclinical modeling of hematopoietic disorders,10.1016/j.stem.2026.01.010,https://doi.org/10.1016/j.stem.2026.01.010,,,publisher_page_blocked,,ScienceDirect page blocked (403); no GitHub found in quick search.
Cell,2026,Pluripotent stem cell-derived CAR-NK progenitor therapy targets minimal residual disease and prevents relapse in leukemia models,10.1016/j.stem.2026.01.013,https://doi.org/10.1016/j.stem.2026.01.013,,,no_github_found_quick_search,,No GitHub link found in quick web search; verify in paper code availability.
Cell,2026,In vivo CAR-Tfh cell reprogramming restores tolerance in a mouse model of autoimmune hepatitis,10.1016/j.stem.2026.02.006,https://doi.org/10.1016/j.stem.2026.02.006,,,no_github_found_quick_search,,No GitHub link found in quick web search; verify in paper code availability.
Cell,2026,Neuronal VIP shapes intestinal stem cell activity and mucosal immunity,10.1016/j.stem.2026.02.001,https://doi.org/10.1016/j.stem.2026.02.001,,,no_github_found_quick_search,,No GitHub link found in quick web search; verify in paper code availability.
Cell,2026,Two decades of induced pluripotent stem cell research: From discovery to diverse applications,10.1016/j.stem.2026.02.003,https://doi.org/10.1016/j.stem.2026.02.003,,,no_github_found_quick_search,,No GitHub link found in quick web search; verify in paper code availability.
Cell,2026,Chromatin Accessibility Dynamics during Chemical Induction of Pluripotency,10.1016/j.stem.2026.01.011,https://doi.org/10.1016/j.stem.2026.01.011,,,no_github_found_quick_search,,No GitHub link found in quick web search; verify in paper code availability.
Cell,2026,Modeling human prenatal adrenocortical functional zonation dynamics from pluripotent stem cells,10.1016/j.stem.2026.02.002,https://doi.org/10.1016/j.stem.2026.02.002,,,no_github_found_quick_search,,No GitHub link found in quick web search; verify in paper code availability.
Cell,2026,Engineered intestinal crypt geometry uncovers YAP1-dependent fetal-to-adult transition,10.1016/j.stem.2026.01.006,https://doi.org/10.1016/j.stem.2026.01.006,,,no_github_found_quick_search,,No GitHub link found in quick web search; verify in paper code availability.
Cell,2026,Genetically encoded fluorescent reporters to visualize α-synuclein pathology in live brain,10.1016/j.cell.2026.01.035,https://doi.org/10.1016/j.cell.2026.01.035,,,no_github_found_quick_search,,No GitHub link found in quick web search; verify in paper code availability.
Cell,2026,Immune-microbiome coordination defines interferon setpoints in healthy humans,10.1016/j.cell.2026.02.003,https://doi.org/10.1016/j.cell.2026.02.003,,,no_github_found_quick_search,,No GitHub link found in quick web search; verify in paper code availability.
